sentence,sentiment,processed_text,positive_score,negative_score
insects have infected my spinach plant,0,insect infected spinach plant,0.0,0.516
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,wish could catch every mosquito world n burn em slowly bitin shit outta day mosquito asshole insect,0.133,0.177
just got back from church and i totally hate insects,0,got back church totally hate insect,0.0,0.444
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,0,got mcdonalds goddam egg make sick yeah laker date go lakers much update well true suck,0.265,0.362
omgg i ohhdee want mcdonalds damn i wonder if its open lol,1,omgg ohhdee want mcdonalds damn wonder open lol,0.347,0.229
history exam studying ugh,0,history exam studying ugh,0.0,0.483
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,0,hate revision boring totally unprepared exam tomorrow thing looking good,0.182,0.377
higher physics exam tommorow not lookin forward to it much,0,higher physic exam tommorow lookin forward much,0.0,0.0
it s a bank holiday yet i m only out of work now exam season sucks,0,bank holiday yet work exam season suck,0.255,0.274
cheney and bush are the real culprits,0,cheney bush real culprit,0.0,0.0
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0,life bitch dick cheney p bipart tlot tcot hhrs gop dnc,0.0,0.47
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,0,dick cheney dishonest speech torture terror obama fred kaplan slate,0.0,0.704
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0,republican party bunch anti abortion zealot draw fly dump neal boortz radio,0.146,0.422
is twitter s connections api broken some tweets didn t make it to twitter,0,twitter connection api broken tweet make twitter,0.0,0.341
i srsly hate the stupid twitter api timeout thing soooo annoying,0,srsly hate stupid twitter api timeout thing soooo annoying,0.0,0.62
i really liked learning jquery book is worth a look too,1,really liked learning jquery book worth look,0.5,0.0
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,interesting ad adobe goodby silverstein amp partner youtube adobe c le sen propre,0.197,0.0
goodby silverstein agency new site great,1,goodby silverstein agency new site great,0.451,0.0
rt goodby silverstein s new site i enjoy it nice find,1,rt goodby silverstein new site enjoy nice find,0.5,0.0
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,ever amazing psyop goodby silverstein amp partner hp go play effect,0.408,0.0
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,top ten watched viral video chart love nike mostvaluablepuppets campaign wieden amp kennedy,0.353,0.0
zomg i have a g,1,zomg g,0.0,0.0
ok so lots of buzz from io but how lucky are they a free g,1,ok lot buzz io lucky free g,0.735,0.0
just got a free g android at google i o,1,got free g android google,0.524,0.0
guess i ll be retiring my g and start using my developer g woot googleio,1,guess retiring g start using developer g woot googleio,0.318,0.0
i am happy for philip being at googleio today,1,happy philip googleio today,0.552,0.0
lakers played great cannot wait for thursday night lakers vs,1,lakers played great wait thursday night lakers v,0.565,0.0
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,1,judd apatow creates fake sitcom nbc com market new movie viral marketing best,0.325,0.16
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,0,viral marketing fail acia pill brand oughta get shut hacking people messenger get msg day arrrgh,0.0,0.189
watching night at the museum lmao,1,watching night museum lmao,0.565,0.0
i loved night at the museum,1,loved night museum,0.661,0.0
just got back from the movies went to see the new night at the museum with rachel it was good,1,got back movie went see new night museum rachel good,0.244,0.0
i will take you on a date to see night at the museum whenever you want it looks soooooo good,1,take date see night museum whenever want look soooooo good,0.344,0.0
no watching the night at the museum getting really good,1,watching night museum getting really good,0.39,0.0
night at the museum wolverine and junk food perfect monday,1,night museum wolverine junk food perfect monday,0.381,0.0
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,saw night museum last night pretty crazy movie cast awesome well worth robin williams forever,0.477,0.101
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,night museum tonite instead oh well yr old better enjoy lol,0.611,0.0
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,unfortunate stimulus plan put place twice help gm back american people led inevitable,0.162,0.18
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,tell giving gm use program support unemployed,0.505,0.0
oh yes but if gm dies it will only be worth more boo hahaha,0,oh yes gm dy worth boo hahaha,0.672,0.0
time warner cable is down again rd time since memorial day bummer,0,time warner cable rd time since memorial day bummer,0.0,0.245
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0,would rather pay reasonable yearly tax free fast internet get gouged time warner slow connection,0.186,0.079
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,0,nooooooo dvr died half way ea presser hate time warner,0.0,0.477
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0,f ck time warner cable f cking suck ball hd tv amp damn hd channel hardly ever come bullshit,0.0,0.395
time warner has the worse customer service ever i will never use them again,0,time warner worse customer service ever never use,0.0,0.307
time warner is the devil worst possible time for the internet to go out,0,time warner devil worst possible time internet go,0.0,0.586
fuck no internet damn time warner,0,fuck internet damn time warner,0.0,0.674
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,0,time warner really pick worst time work want get mtv com watch hill wtfffff,0.074,0.248
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,0,hate time warner soooo wish vios cant watch fricken mets game w buffering feel like im watching free internet porn,0.312,0.136
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,0,ahh got rid stupid time warner today amp taking nap roomy cook pretty good end monday,0.271,0.151
time warner s hd line up is crap,0,time warner hd line crap,0.0,0.394
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0,fucked time warner cable didnt know modem could explode susan boyle suck,0.0,0.422
time warner cable slogan where calling it a day at pm happens,0,time warner cable slogan calling day pm happens,0.0,0.0
recovering from surgery wishing was here,0,recovering surgery wishing,0.487,0.0
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,1,wrist still hurt get looked hate dr dentist scary place time watch eagle eye want join txt,0.136,0.399
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,0,dentist lied u feel discomort prob even need pain pill man u twippin shit hurt many pill take,0.0,0.518
my dentist is great but she s expensive,0,dentist great expensive,0.672,0.0
is studing math tomorrow exam and dentist,1,studing math tomorrow exam dentist,0.0,0.0
my dentist was wrong wrong,0,dentist wrong wrong,0.0,0.861
going to the dentist later,0,going dentist later,0.0,0.0
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,0,son looking car online hate car shopping would rather go dentist anyone good car good price sell,0.247,0.157
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0,luke got stopped walking safeway asked empty pocket lift shirt jacked,0.0,0.291
safeway is very rock n roll tonight,1,safeway rock n roll tonight,0.0,0.0
the safeway bathroom still smells like ass,0,safeway bathroom still smell like as,0.333,0.0
at safeway on elkhorn they move like they re dead,0,safeway elkhorn move like dead,0.255,0.439
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,1,love dwight howard vitamin water commercial wish nike adidas lol,0.665,0.0
found nothing at nike factory off to banana republic outlet,0,found nothing nike factory banana republic outlet,0.0,0.0
is lovin his nike already and that s only from running on the spot in his bedroom,1,lovin nike already running spot bedroom,0.0,0.0
i finally got around to using jquery to make my bio collapse yay for slide animations,1,finally got around using jquery make bio collapse yay slide animation,0.218,0.205
right lol we ll get there i have high expectations warren buffet style,1,right lol get high expectation warren buffet style,0.286,0.0
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,1,rt rt great someone sitting shade today someone planted tree long time ago warren buffet,0.227,0.0
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,1,warren buffet became time richest man united state working investing big idea lead fortune,0.341,0.0
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,1,according create school notre dame receiver ncaa higher rating sweet,0.389,0.0
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,1,definitely warranty amp experience amazon support kindle great contact kindle,0.651,0.0
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,0,time warner road runner customer support absolutely blow hate high speed net option ready go nuclear,0.234,0.179
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,0,time warner cable phone rep r dumber nail ugh cable working min ago wtf,0.0,0.476
we tried but time warner wasn t being nice so we recorded today,0,tried time warner nice recorded today,0.359,0.0
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,0,omg time warner f ed internet install instead today next saturday another week w internet amp ehfa v fhg fml,0.0,0.0
wth i have never seen a line this loooong at time warner before ugh,0,wth never seen line loooong time warner ugh,0.0,0.508
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,0,impatiently awaiting arrival time warner guy way pretty inside afternoon,0.23,0.194
naive bayes using em for text classification really frustrating,0,naive bayes using em text classification really frustrating,0.0,0.469
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,1,went stanford university today got tour made want go back college also decided kid go,0.085,0.0
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,0,harassed call car warranty changing number fix call every number bag,0.184,0.248
just blocked united blood services using google voice they call more than those car warranty guys,0,blocked united blood service using google voice call car warranty guy,0.201,0.151
at amp t is complete fail,0,amp complete fail,0.0,0.636
oh snap you work at at amp t don t you,0,oh snap work amp,0.0,0.0
i really dont want at amp t phone service they suck when it comes to having a signal,0,really dont want amp phone service suck come signal,0.0,0.386
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,0,say cut small talk amp new slogan fk give u money apology bob geldof,0.084,0.147
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,0,pissed amp mid contract upgrade price iphone going pay something thought,0.0,0.384
safari is fast even on my shitty at amp t tethering,0,safari fast even shitty amp tethering,0.0,0.419
what is at amp t fucking up,0,amp fucking,0.0,0.0
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,0,amp dropped ball supporting crap new iphone fail att suck,0.162,0.503
yay glad you got the phone still damn you at amp t,0,yay glad got phone still damn amp,0.489,0.206
talk is cheap bing that i ll stick with google,0,talk cheap bing stick google,0.0,0.0
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,0,wtf point deleting tweet still found summize search twitter please fix thanks bye,0.274,0.2
i love google translator too d good day mate,1,love google translator good day mate,0.64,0.0
reading on my new kindle,1,reading new kindle,0.0,0.0
my kindle came and i love it,1,kindle came love,0.677,0.0
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,1,loving new kindle named kendra case u wondering cookbook tool cuz tell u trick best gift evr,0.474,0.052
the real aig scandal,0,real aig scandal,0.0,0.592
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,1,obama quite good comedian check dinner speech cnn funny joke,0.651,0.0
barack obama shows his funny side gt gt great speech,1,barack obama show funny side gt gt great speech,0.691,0.0
i like this guy barack obama shows his funny side gt gt,1,like guy barack obama show funny side gt gt,0.658,0.0
obama s speech was pretty awesome last night,1,obama speech pretty awesome last night,0.646,0.0
reading bill clinton fail obama win,1,reading bill clinton fail obama win,0.336,0.31
obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries,1,obama popular u among arab survey president barack obama popularity leading arab country,0.371,0.0
obama s got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president,1,obama got joke haha got watch bit dinner speech last night love mr president,0.461,0.0
lebron james got in a car accident i guess just heard it on evening news wow i cant believe it will he be ok,0,lebron james got car accident guess heard evening news wow cant believe ok,0.202,0.265
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,1,best playoff year oh yea lebron melo final,0.375,0.0
no lebron is the best,1,lebron best,0.808,0.0
lebron is cool i like his personality he has good character,1,lebron cool like personality good character,0.72,0.0
watching lebron highlights damn that niggas good,1,watching lebron highlight damn nigga good,0.482,0.245
lebron is murdering shit,1,lebron murdering shit,0.0,0.888
lebron is a monsta and he is only smh the world ain t ready,1,lebron monsta smh world ready,0.321,0.295
when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players,1,lebron done nba probably greater kobe like u said kobe good alot good player,0.545,0.0
kobe is good bt lebron has my vote,1,kobe good bt lebron vote,0.42,0.0
kobe is the best in the world not lebron,0,kobe best world lebron,0.583,0.0
world cup access damn that s a good look,1,world cup access damn good look,0.302,0.281
just bought my tickets for the fifa world cup in south africa its going to be a great summer,1,bought ticket fifa world cup south africa going great summer,0.313,0.0
i have to go to booz allen hamilton for a hr meeting but then i get to go home,0,go booz allen hamilton hr meeting get go home,0.0,0.0
the great indian tamasha truly will unfold from may the result day for indian general election,1,great indian tamasha truly unfold may result day indian general election,0.438,0.0
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday,1,kindle seen picture dx seen person love kindle everyday,0.276,0.263
such an awesome idea the continual learning program with a kindle,1,awesome idea continual learning program kindle,0.451,0.0
ooooh what model are you getting i have the d and love love love love it,1,ooooh model getting love love love love,0.848,0.0
the times of india the wonder that is india s election,1,time india wonder india election,0.0,0.0
good video from google on using search options,1,good video google using search option,0.367,0.0
lol ah my skin is itchy damn lawnmowing,0,lol ah skin itchy damn lawnmowing,0.264,0.453
itchy back dont ya hate it,0,itchy back dont ya hate,0.37,0.259
stanford charity fashion show a top draw,1,stanford charity fashion show top draw,0.535,0.0
stanford university s facebook profile is one of the most popular official university pages,1,stanford university facebook profile one popular official university page,0.259,0.0
lyx is cool,1,lyx cool,0.697,0.0
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,1,sooo dissapointed sent danny gokey home still rock danny hometown hero yeah milrockee,0.345,0.0
rt american idol fashion adam lambert tones down danny gokey cute,1,rt american idol fashion adam lambert tone danny gokey cute,0.25,0.0
i love you danny gokey,1,love danny gokey,0.677,0.0
so tired i didn t sleep well at all last night,0,tired sleep well last night,0.263,0.362
boarding plane for san francisco in hour hr flight blech,0,boarding plane san francisco hour hr flight blech,0.0,0.0
bonjour san francisco my back hurts from last night,0,bonjour san francisco back hurt last night,0.0,0.362
with my best girl for a few more hours in san francisco mmmmmfamily is wonderful,1,best girl hour san francisco mmmmmfamily wonderful,0.612,0.0
f up big or go home aig,0,f big go home aig,0.0,0.0
went to see the star trek movie last night very satisfying,1,went see star trek movie last night satisfying,0.3,0.0
i can t wait going to see star trek tonight,1,wait going see star trek tonight,0.0,0.0
star trek was as good as everyone said,1,star trek good everyone said,0.42,0.0
am loving new malcolm gladwell book outliers,1,loving new malcolm gladwell book outlier,0.438,0.0
i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as well,1,highly recommend malcolm gladwell tipping point next audiobook probably one well,0.352,0.0
malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot,0,malcolm gladwell genius tricking people realizing fucking idiot,0.103,0.336
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit,0,hey offense malcolm gladwell pretenious annoying cunt brings cant read shit,0.164,0.443
rt great article by malcolm gladwell,1,rt great article malcolm gladwell,0.506,0.0
i seriously underestimated malcolm gladwell i want to meet this dude,1,seriously underestimated malcolm gladwell want meet dude,0.143,0.418
i hate comcast right now everything is down cable internet amp phone ughh what am i to do,0,hate comcast right everything cable internet amp phone ughh,0.0,0.316
comcast sucks,0,comcast suck,0.0,0.744
the day i never have to deal with comcast again will rank as one of the best days of my life,0,day never deal comcast rank one best day life,0.344,0.0
did comcast fail again,0,comcast fail,0.0,0.778
curses the twitter api limit,0,curse twitter api limit,0.0,0.538
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,0,see dave winer scream lack twitter api limitation access throttle,0.0,0.507
arg twitter api is making me crazy,0,arg twitter api making crazy,0.0,0.375
i m really loving the new search site wolfram alpha makes google seem so quaint,1,really loving new search site wolfram alpha make google seem quaint,0.295,0.0
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,0,wolfram alpha suck even researcher information provided less get google wikipedia totally useless,0.0,0.353
off to the nike factory,1,nike factory,0.0,0.0
new nike muppet commercials are pretty cute why do we live together again,1,new nike muppet commercial pretty cute live together,0.508,0.0
oh those are awesome i so wish they weren t owned by nike,0,oh awesome wish owned nike,0.694,0.0
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,1,awesome seeing show friday shoreline amphitheatre never seen nin wait,0.313,0.0
arhh it s weka bug and i spent almost two hours to find that out crappy me,0,arhh weka bug spent almost two hour find crappy,0.0,0.31
hey bud np i do so love my d although i d love a d mkii more,1,hey bud np love although love mkii,0.73,0.0
just got us a d for the office d,1,got u office,0.0,0.0
just picked up my new canon d it s beautiful prepare for some seriously awesome photography,1,picked new canon beautiful prepare seriously awesome photography,0.544,0.116
just got my new toy canon d love love love it,1,got new toy canon love love love,0.759,0.0
learning about lambda calculus,1,learning lambda calculus,0.0,0.0
i m moving to east palo alto,1,moving east palo alto,0.0,0.0
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,1,atebits finished watching stanford iphone class session really appreciate rock,0.25,0.0
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,1,hi saw stanford talk really liked advice saying hi singapore yes video get around,0.326,0.0
lakers tonight let s go,1,lakers tonight let go,0.0,0.0
will the lakers kick the nuggets ass tonight,1,lakers kick nugget as tonight,0.0,0.0
oooooooh north korea is in troubleeeee,0,oooooooh north korea troubleeeee,0.0,0.0
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,0,wat heck north korea conducted powerful nuclear test follow link,0.237,0.0
listening to obama friggin north korea,0,listening obama friggin north korea,0.0,0.0
i just realized we three monkeys in the white obama biden pelosi sarah palin,0,realized three monkey white obama biden pelosi sarah palin,0.0,0.0
pelosi should stay in china and never come back,0,pelosi stay china never come back,0.0,0.0
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,0,nancy pelosi gave worst commencement speech ever heard yes still bitter,0.153,0.392
ugh the amount of times these stupid insects have bitten me grr,0,ugh amount time stupid insect bitten grr,0.0,0.554
prettiest insects ever pink katydids,1,prettiest insect ever pink katydid,0.481,0.0
just got barraged by a horde of insects hungry for my kitchen light so scary,0,got barraged horde insect hungry kitchen light scary,0.0,0.314
just had mcdonalds for dinner d it was goooood big mac meal,1,mcdonalds dinner goooood big mac meal,0.0,0.0
ahh yes lol ima tell my hubby to go get me sum mcdonalds,1,ahh yes lol ima tell hubby go get sum mcdonalds,0.407,0.0
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,1,stopped lunch mcdonalds chicken nuggetssss yummmmmy,0.0,0.275
could go for a lot of mcdonalds i mean a lot,1,could go lot mcdonalds mean lot,0.0,0.0
my exam went good your prayers worked,1,exam went good prayer worked,0.42,0.0
only one exam left and i am so happy for it d,1,one exam left happy,0.552,0.0
math review im going to fail the exam,0,math review im going fail exam,0.0,0.412
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,0,colin powell rocked yesterday cbs cheney need shut hell go home powell man honor served country proudly,0.268,0.181
obviously not siding with cheney here,0,obviously siding cheney,0.0,0.0
absolutely hilarious from,1,absolutely hilarious,0.75,0.0
i never did thank you for including me in your top twitter authors you rock amp i new wave d,1,never thank including top twitter author rock amp new wave,0.0,0.316
rt awesome jquery reference book for coda webdesign,1,rt awesome jquery reference book coda webdesign,0.406,0.0
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them,1,sending e mail like crazy today contact anyone contact goodby silverstein love speak,0.37,0.133
goodby silverstein s new site i enjoy it,1,goodby silverstein new site enjoy,0.444,0.0
wow everyone at the google i o conference got free g s with a month of unlimited service,1,wow everyone google conference got free g month unlimited service,0.504,0.0
dood i got a free google android phone at the i o conference the g,1,dood got free google android phone conference g,0.355,0.0
the g is amazing btw a huge improvement over the g,1,g amazing btw huge improvement g,0.901,0.0
html demos lots of great stuff to come yes i m excited io googleio,1,html demo lot great stuff come yes excited io googleio,0.568,0.0
yay happy place place place i love google,1,yay happy place place place love google,0.739,0.0
googleio o d bringing d graphics to the browser very nice tbh funfun,1,googleio bringing graphic browser nice tbh funfun,0.318,0.0
